orden,nombre,codigo,url,tipo,horario,secretario,sede_contacto,fecha_extraccion
1,ASUNTOS CONSTITUCIONALES,caconstitucionales,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales,Unicameral,Martes 14.00hs,,Piso P04 Oficina 449 -60752431 Internos 2431/32,2025-12-15
2,LEGISLACION GENERAL,clgeneral,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral,Unicameral,Miércoles 16.00hs,,Piso P02 Oficina 235 -60752248 Internos 2248,2025-12-15
3,RELACIONES EXTERIORES Y CULTO,creyculto,https://www.hcdn.gob.ar/comisiones/permanentes/creyculto,Unicameral,Miércoles 10.00hs,,Piso P04 Oficina 407 -6075-2409 Internos 2409/2407,2025-12-15
4,PRESUPUESTO Y HACIENDA,cpyhacienda,https://www.hcdn.gob.ar/comisiones/permanentes/cpyhacienda,Unicameral,,,Piso P04 Oficina 418 -6075-0000 Internos 2444/2416/2450,2025-12-15
5,EDUCACION,ceducacion,https://www.hcdn.gob.ar/comisiones/permanentes/ceducacion,Unicameral,Martes 15.00 hs,,Piso P04 Oficina 406 -6075-2426 Internos 2406/05/26,2025-12-15
6,"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA",ccytecnologia,https://www.hcdn.gob.ar/comisiones/permanentes/ccytecnologia,Unicameral,Martes 18.00hs,,Piso P01 Oficina 130 -6075-2120 Internos 2120/21,2025-12-15
7,CULTURA,ccultura,https://www.hcdn.gob.ar/comisiones/permanentes/ccultura,Unicameral,Martes 17.00hs,,Piso P04 Oficina 401 -6075-2402 Internos 2402/56/59,2025-12-15
8,JUSTICIA,cjusticia,https://www.hcdn.gob.ar/comisiones/permanentes/cjusticia,Unicameral,Miércoles 16.00hs,,Piso P04 Oficina 423 -6075-2418 Internos 2418/17,2025-12-15
9,PREVISION Y SEGURIDAD SOCIAL,cpyssocial,https://www.hcdn.gob.ar/comisiones/permanentes/cpyssocial,Unicameral,Martes 16.00hs,,Piso P04 Oficina 430 -6075-2424 Internos 2424/25,2025-12-15
10,ACCION SOCIAL Y SALUD PUBLICA,casyspublica,https://www.hcdn.gob.ar/comisiones/permanentes/casyspublica,Unicameral,Martes 13.30hs,,Piso P04 Oficina 445 -6075-2434 Internos 2434/35,2025-12-15
11,"FAMILIAS, NIÑEZ Y JUVENTUDES",cfnjuventudes,https://www.hcdn.gob.ar/comisiones/permanentes/cfnjuventudes,Unicameral,Martes 16.00hs,,Piso P04 Oficina 452 -6075-2429 Internos 2429/30,2025-12-15
12,DE LAS PERSONAS MAYORES,cpmayores,https://www.hcdn.gob.ar/comisiones/permanentes/cpmayores,Unicameral,Martes 19.00hs,,Piso P01 Oficina 140 -6075-2141 Internos 2141,2025-12-15
13,LEGISLACION PENAL,clpenal,https://www.hcdn.gob.ar/comisiones/permanentes/clpenal,Unicameral,Martes 15.30hs,,Piso P04 Oficina 404 -6075-7493/94 Internos 2403/01,2025-12-15
14,LEGISLACION DEL TRABAJO,cltrabajo,https://www.hcdn.gob.ar/comisiones/permanentes/cltrabajo,Unicameral,Miércoles 10.00hs,,Piso P04 Oficina 427 -6075-2420 Internos 2420/21,2025-12-15
15,DEFENSA NACIONAL,cdnacional,https://www.hcdn.gob.ar/comisiones/permanentes/cdnacional,Unicameral,Martes 16.00hs,,Piso P04 Oficina 437 -6075-2440 Internos 2440/39,2025-12-15
16,OBRAS PUBLICAS,copublicas,https://www.hcdn.gob.ar/comisiones/permanentes/copublicas,Unicameral,Martes 16.00hs,,Piso P01 Oficina 136 -6075-2143 Internos 2143/2137,2025-12-15
17,AGRICULTURA Y GANADERIA,cayganaderia,https://www.hcdn.gob.ar/comisiones/permanentes/cayganaderia,Unicameral,Martes 17.30hs,,Piso P01 Oficina 104 -6075-2103 Internos 2103/04,2025-12-15
18,FINANZAS,cfinanzas,https://www.hcdn.gob.ar/comisiones/permanentes/cfinanzas,Unicameral,Martes 16.00hs,,Piso P01 Oficina 103 -6075-2105 Internos 2105/02,2025-12-15
19,INDUSTRIA,cindustria,https://www.hcdn.gob.ar/comisiones/permanentes/cindustria,Unicameral,Miércoles 12.00hs,,Piso P01 Oficina 106 -6075-2107 Internos 2107/06/68,2025-12-15
20,COMERCIO,ccomercio,https://www.hcdn.gob.ar/comisiones/permanentes/ccomercio,Unicameral,Martes 14.00hs,,Piso P01 Oficina 107 -6075-2108 Internos 2108/10/49,2025-12-15
21,ENERGIA Y COMBUSTIBLES,ceycombust,https://www.hcdn.gob.ar/comisiones/permanentes/ceycombust,Unicameral,Martes 17.00hs,,Piso P01 Oficina 131 -6075-2119 Internos 2119/18,2025-12-15
22,COMUNICACIONES E INFORMATICA,cceinformatica,https://www.hcdn.gob.ar/comisiones/permanentes/cceinformatica,Unicameral,Martes 17.00hs,,Piso P01 Oficina 139 -6075-2144 Internos 2144/42,2025-12-15
