comision_codigo,comision_nombre,codigo_diputado,nombre_completo,cargo,bloque,distrito,fecha_inicio,fecha_fin,fecha_extraccion
caconstitucionales,ASUNTOS CONSTITUCIONALES,"nmayoraz
","Mayoraz, Nicolás",PRESIDENTE,LA LIBERTAD AVANZA,SANTA FE,2025-06-04,2025-06-04,2025-06-04
caconstitucionales,ASUNTOS CONSTITUCIONALES,"mvidal
","Vidal, María Eugenia",VICEPRESIDENTE 1ª,PRO,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
caconstitucionales,ASUNTOS CONSTITUCIONALES,"julopez
","López, Juan Manuel",SECRETARIO 4ª,COALICION CIVICA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
caconstitucionales,ASUNTOS CONSTITUCIONALES,"evaldes
","Valdés, Eduardo Félix",VOCAL,UNIÓN POR LA PATRIA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clgeneral,LEGISLACION GENERAL,"ssanturior
","Santurio, Santiago",PRESIDENTE,LA LIBERTAD AVANZA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clgeneral,LEGISLACION GENERAL,"ccarrizo
","Carrizo, Ana Carla",VICEPRESIDENTE 1ª,DEMOCRACIA PARA SIEMPRE,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clgeneral,LEGISLACION GENERAL,"mlitza
","Litza, Mónica",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clgeneral,LEGISLACION GENERAL,"cmalonso
","Alonso, Constanza María",SECRETARIO,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clgeneral,LEGISLACION GENERAL,"adomingo
","Domingo, Agustín",SECRETARIO 4ª,INNOVACIÓN FEDERAL,RIO NEGRO,2025-06-04,2025-06-04,2025-06-04
clgeneral,LEGISLACION GENERAL,"nzaracho
","Zaracho, Natalia",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
creyculto,RELACIONES EXTERIORES Y CULTO,"faiglesias
","Iglesias, Fernando Adolfo",PRESIDENTE,PRO,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
creyculto,RELACIONES EXTERIORES Y CULTO,"scafiero
","Cafiero, Santiago",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
creyculto,RELACIONES EXTERIORES Y CULTO,"csantillanj
","Santillán Juárez Brahim, Juliana",VICEPRESIDENTE 2ª,LA LIBERTAD AVANZA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
creyculto,RELACIONES EXTERIORES Y CULTO,"lchaher
","Chaher, Leila",SECRETARIO,UNIÓN POR LA PATRIA,JUJUY,2025-06-04,2025-06-04,2025-06-04
creyculto,RELACIONES EXTERIORES Y CULTO,"aarancibiar
","Arancibia Rodríguez, Alberto Gustavo",SECRETARIO 4ª,LA LIBERTAD AVANZA,SAN LUIS,2025-06-04,2025-06-04,2025-06-04
creyculto,RELACIONES EXTERIORES Y CULTO,"mzabalac
","Zabala Chacur, Natalia",VOCAL,UNIÓN POR LA PATRIA,SAN LUIS,2025-06-04,2025-06-04,2025-06-04
cpyhacienda,PRESUPUESTO Y HACIENDA,"jespert
","Espert, José Luis",PRESIDENTE,LA LIBERTAD AVANZA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cpyhacienda,PRESUPUESTO Y HACIENDA,"cheller
","Heller, Carlos",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cpyhacienda,PRESUPUESTO Y HACIENDA,"gfigueroac
","Figueroa Casas, Germana",VICEPRESIDENTE 2ª,PRO,SANTA FE,2025-06-04,2025-06-04,2025-06-04
cpyhacienda,PRESUPUESTO Y HACIENDA,"igarciaa
","García Aresca, Ignacio",SECRETARIO,ENCUENTRO FEDERAL,CORDOBA,2025-06-04,2025-06-04,2025-06-04
cpyhacienda,PRESUPUESTO Y HACIENDA,"czapata
","Zapata, Carlos Raúl",VOCAL,LA LIBERTAD AVANZA,SALTA,2025-06-04,2025-06-04,2025-06-04
ceducacion,EDUCACION,"afinocchiaro
","Finocchiaro, Alejandro",PRESIDENTE,PRO,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ceducacion,EDUCACION,"bosuna
","Osuna, Blanca Inés",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,ENTRE RIOS,2025-06-04,2025-06-04,2025-06-04
ceducacion,EDUCACION,"dtavela
","Tavela, Danya",VICEPRESIDENTE 2ª,DEMOCRACIA PARA SIEMPRE,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ceducacion,EDUCACION,"nsandg
","Sand, Nancy",SECRETARIO,UNIÓN POR LA PATRIA,CORRIENTES,2025-06-04,2025-06-04,2025-06-04
ceducacion,EDUCACION,"hyasky
","Yasky, Hugo",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ccytecnologia,"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA","dgollan
","Gollán, Daniel",PRESIDENTE,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ccytecnologia,"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA","mcoli
","Coli, Marcela",VICEPRESIDENTE 1ª,DEMOCRACIA PARA SIEMPRE,LA PAMPA,2025-06-04,2025-06-04,2025-06-04
ccytecnologia,"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA","myeza
","Yeza, Martín",VICEPRESIDENTE 2ª,PRO,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ccytecnologia,"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA","darabia
","Arabia, Damián",SECRETARIO,PRO,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ccytecnologia,"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA","bvargasm
","Vargas Matyi, Brenda",SECRETARIO 4ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ccytecnologia,"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA","ltorres
","Torres, Alejandra",VOCAL,ENCUENTRO FEDERAL,CORDOBA,2025-06-04,2025-06-04,2025-06-04
ccultura,CULTURA,"sginocchio
","Ginocchio, Silvana Micaela",PRESIDENTE,UNIÓN POR LA PATRIA,CATAMARCA,2025-06-04,2025-06-04,2025-06-04
ccultura,CULTURA,"mdesensi
","De Sensi, María Florencia",VICEPRESIDENTE 1ª,PRO,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ccultura,CULTURA,"maraujo
","Araujo, María Fernanda",VICEPRESIDENTE 2ª,LA LIBERTAD AVANZA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
ccultura,CULTURA,"mantola
","Antola, Marcela",SECRETARIO,DEMOCRACIA PARA SIEMPRE,ENTRE RIOS,2025-06-04,2025-06-04,2025-06-04
ccultura,CULTURA,"iyutrovic
","Yutrovic, Carolina",VOCAL,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,2025-06-04,2025-06-04,2025-06-04
cjusticia,JUSTICIA,"mquintar
","Quintar, Manuel",PRESIDENTE,LA LIBERTAD AVANZA,JUJUY,2025-06-04,2025-06-04,2025-06-04
cjusticia,JUSTICIA,"pvasquez
","Vásquez, Patricia",VICEPRESIDENTE 2ª,PRO,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cjusticia,JUSTICIA,"ltailhade
","Tailhade, Rodolfo",SECRETARIO,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cjusticia,JUSTICIA,"ctreffinger
","Treffinger, César",VOCAL,LA LIBERTAD AVANZA,CHUBUT,2025-06-04,2025-06-04,2025-06-04
cpyssocial,PREVISION Y SEGURIDAD SOCIAL,"gbrouwerdek
","Brouwer De Koning, Gabriela",PRESIDENTA,UCR - UNIÓN CÍVICA RADICAL,CORDOBA,2025-06-04,2025-06-04,2025-06-04
cpyssocial,PREVISION Y SEGURIDAD SOCIAL,"jherrera
","Herrera, Ricardo",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,LA RIOJA,2025-06-04,2025-06-04,2025-06-04
cpyssocial,PREVISION Y SEGURIDAD SOCIAL,"ltorres
","Torres, Alejandra",VICEPRESIDENTE 2ª,ENCUENTRO FEDERAL,CORDOBA,2025-06-04,2025-06-04,2025-06-04
cpyssocial,PREVISION Y SEGURIDAD SOCIAL,"ndelcano
","Del Caño, Nicolás",SECRETARIO,PTS-FRENTE DE IZQUIERDA UNIDAD,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cpyssocial,PREVISION Y SEGURIDAD SOCIAL,"czulli
","Zulli, Christian Alejandro",VOCAL,UNIÓN POR LA PATRIA,CORRIENTES,2025-06-04,2025-06-04,2025-06-04
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,"pyedlin
","Yedlin, Pablo Raúl",PRESIDENTE,UNIÓN POR LA PATRIA,TUCUMAN,2025-06-04,2025-06-04,2025-06-04
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,"mquintar
","Quintar, Manuel",VICEPRESIDENTE 1ª,LA LIBERTAD AVANZA,JUJUY,2025-06-04,2025-06-04,2025-06-04
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,"mmontoto
","Montoto, María Luisa",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,SANTIAGO DEL ESTERO,2025-06-04,2025-06-04,2025-06-04
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,"ccarrizo
","Carrizo, Ana Carla",SECRETARIO,DEMOCRACIA PARA SIEMPRE,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,"nzaracho
","Zaracho, Natalia",SECRETARIO 4ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,"carfernandez
","Fernández, Carlos Alberto",SECRETARIO 5ª,INNOVACIÓN FEDERAL,MISIONES,2025-06-04,2025-06-04,2025-06-04
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,"lvolnovich
","Volnovich, Luana",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfnjuventudes,"FAMILIAS, NIÑEZ Y JUVENTUDES","rreyes
","Reyes, Roxana",PRESIDENTA,UCR - UNIÓN CÍVICA RADICAL,SANTA CRUZ,2025-06-04,2025-06-04,2025-06-04
cfnjuventudes,"FAMILIAS, NIÑEZ Y JUVENTUDES","vtolosap
","Tolosa Paz, Victoria",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfnjuventudes,"FAMILIAS, NIÑEZ Y JUVENTUDES","mcampagnoli
","Campagnoli, Marcela",VICEPRESIDENTE 2ª,COALICION CIVICA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfnjuventudes,"FAMILIAS, NIÑEZ Y JUVENTUDES","maraujo
","Araujo, María Fernanda",SECRETARIO,LA LIBERTAD AVANZA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfnjuventudes,"FAMILIAS, NIÑEZ Y JUVENTUDES","mzabalac
","Zabala Chacur, Natalia",VOCAL,UNIÓN POR LA PATRIA,SAN LUIS,2025-06-04,2025-06-04,2025-06-04
cpmayores,DE LAS PERSONAS MAYORES,"mmarziotta
","Marziotta, Gisela",PRESIDENTA,UNIÓN POR LA PATRIA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cpmayores,DE LAS PERSONAS MAYORES,"mpasso
","Passo, Marcela Fabiana",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cpmayores,DE LAS PERSONAS MAYORES,"fklipaukal
","Klipauka Lewtak, Florencia",VICEPRESIDENTE 2ª,LA LIBERTAD AVANZA,MISIONES,2025-06-04,2025-06-04,2025-06-04
cpmayores,DE LAS PERSONAS MAYORES,"gbesana
","Besana, Gabriela",SECRETARIO,PRO,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cpmayores,DE LAS PERSONAS MAYORES,"lvolnovich
","Volnovich, Luana",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clpenal,LEGISLACION PENAL,"lrodriguezm
","Rodríguez Machado, Laura",PRESIDENTA,PRO,CORDOBA,2025-06-04,2025-06-04,2025-06-04
clpenal,LEGISLACION PENAL,"mcampero
","Campero, Mariano",VICEPRESIDENTE 1ª,LIGA DEL INTERIOR ELI,TUCUMAN,2025-06-04,2025-06-04,2025-06-04
clpenal,LEGISLACION PENAL,"msoria
","Soria, Martín",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,RIO NEGRO,2025-06-04,2025-06-04,2025-06-04
clpenal,LEGISLACION PENAL,"cpiparo
","Píparo, Carolina",SECRETARIO,LA LIBERTAD AVANZA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clpenal,LEGISLACION PENAL,"nzaracho
","Zaracho, Natalia",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cltrabajo,LEGISLACION DEL TRABAJO,"mtetaz
","Tetaz, Martin Alberto",PRESIDENTE,UCR - UNIÓN CÍVICA RADICAL,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cltrabajo,LEGISLACION DEL TRABAJO,"spalazzo
","Palazzo, Sergio Omar",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cltrabajo,LEGISLACION DEL TRABAJO,"scapozzi
","Capozzi, Sergio Eduardo",VICEPRESIDENTE 2ª,PRO,RIO NEGRO,2025-06-04,2025-06-04,2025-06-04
cltrabajo,LEGISLACION DEL TRABAJO,"jegomez
","Gomez, José",SECRETARIO,UNIÓN POR LA PATRIA,SANTIAGO DEL ESTERO,2025-06-04,2025-06-04,2025-06-04
cltrabajo,LEGISLACION DEL TRABAJO,"iyutrovic
","Yutrovic, Carolina",VOCAL,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,2025-06-04,2025-06-04,2025-06-04
cdnacional,DEFENSA NACIONAL,"rlopezm
","López Murphy, Ricardo Hipólito",PRESIDENTE,REPUBLICANOS UNIDOS,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cdnacional,DEFENSA NACIONAL,"jcobos
","Cobos, Julio",VICEPRESIDENTE 1ª,UCR - UNIÓN CÍVICA RADICAL,MENDOZA,2025-06-04,2025-06-04,2025-06-04
cdnacional,DEFENSA NACIONAL,"apropato
","Propato, Agustina Lucrecia",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cdnacional,DEFENSA NACIONAL,"mcampero
","Campero, Mariano",SECRETARIO,LIGA DEL INTERIOR ELI,TUCUMAN,2025-06-04,2025-06-04,2025-06-04
cdnacional,DEFENSA NACIONAL,"czapata
","Zapata, Carlos Raúl",VOCAL,LA LIBERTAD AVANZA,SALTA,2025-06-04,2025-06-04,2025-06-04
copublicas,OBRAS PUBLICAS,"bherrera
","Herrera, Bernardo José",PRESIDENTE,UNIÓN POR LA PATRIA,SANTIAGO DEL ESTERO,2025-06-04,2025-06-04,2025-06-04
copublicas,OBRAS PUBLICAS,"fmorchio
","Morchio, Francisco",VICEPRESIDENTE 1ª,ENCUENTRO FEDERAL,ENTRE RIOS,2025-06-04,2025-06-04,2025-06-04
copublicas,OBRAS PUBLICAS,"mchomiak
","Chomiak, María Luisa",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,CHACO,2025-06-04,2025-06-04,2025-06-04
copublicas,OBRAS PUBLICAS,"maveiro
","Aveiro, Martín",SECRETARIO,UNIÓN POR LA PATRIA,MENDOZA,2025-06-04,2025-06-04,2025-06-04
copublicas,OBRAS PUBLICAS,"emfernandez
","Fernández, Elia Marina",SECRETARIO 4ª,INDEPENDENCIA,TUCUMAN,2025-06-04,2025-06-04,2025-06-04
copublicas,OBRAS PUBLICAS,"yvega
","Vega, Yolanda",VOCAL,INNOVACIÓN FEDERAL,SALTA,2025-06-04,2025-06-04,2025-06-04
cayganaderia,AGRICULTURA Y GANADERIA,"abenedetti
","Benedetti, Atilio",PRESIDENTE,UCR - UNIÓN CÍVICA RADICAL,ENTRE RIOS,2025-06-04,2025-06-04,2025-06-04
cayganaderia,AGRICULTURA Y GANADERIA,"bbenedit
","Benedit, Beltrán",VICEPRESIDENTE 1ª,LA LIBERTAD AVANZA,ENTRE RIOS,2025-06-04,2025-06-04,2025-06-04
cayganaderia,AGRICULTURA Y GANADERIA,"sbrambilla
","Brambilla, Sofía",VICEPRESIDENTE 2ª,PRO,CORRIENTES,2025-06-04,2025-06-04,2025-06-04
cayganaderia,AGRICULTURA Y GANADERIA,"cgutierrez
","Gutiérrez, Carlos",SECRETARIO,ENCUENTRO FEDERAL,CORDOBA,2025-06-04,2025-06-04,2025-06-04
cayganaderia,AGRICULTURA Y GANADERIA,"mardohain
","Ardohain, Martín",SECRETARIO 4ª,PRO,LA PAMPA,2025-06-04,2025-06-04,2025-06-04
cayganaderia,AGRICULTURA Y GANADERIA,"czulli
","Zulli, Christian Alejandro",VOCAL,UNIÓN POR LA PATRIA,CORRIENTES,2025-06-04,2025-06-04,2025-06-04
cfinanzas,FINANZAS,"abenegasl
","Benegas Lynch, Bertie",PRESIDENTE,LA LIBERTAD AVANZA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfinanzas,FINANZAS,"ihagman
","Hagman, Itai",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfinanzas,FINANZAS,"mborrego
","Borrego, Victoria",VICEPRESIDENTE 2ª,COALICION CIVICA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfinanzas,FINANZAS,"jstrada
","Strada, Julia",SECRETARIO,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cfinanzas,FINANZAS,"pverasay
","Verasay, Pamela Fernanda",VOCAL,UCR - UNIÓN CÍVICA RADICAL,MENDOZA,2025-06-04,2025-06-04,2025-06-04
cindustria,INDUSTRIA,"aromero
","Romero, Ana Clara",PRESIDENTA,PRO,CHUBUT,2025-06-04,2025-06-04,2025-06-04
cindustria,INDUSTRIA,"gbordet
","Bordet, Gustavo",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,ENTRE RIOS,2025-06-04,2025-06-04,2025-06-04
cindustria,INDUSTRIA,"mzabalac
","Zabala Chacur, Natalia",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,SAN LUIS,2025-06-04,2025-06-04,2025-06-04
