id_sesion_lp,nro_orden_lp,ano_parlamentario,fecha,id_sesion_tipo,abrev_sesion_tipo,dsc_sesion_tipo,labor_documento,prelabor_documento,asuntos_considerados_documento,archivo_vt,url_detalle
65,3,1997,1997-12-23,1,ORD,ORDINARIA,876,875,878,877,https://www.legislatura.gob.ar/InfoSesion/65
64,2,1997,1997-12-16,1,ORD,ORDINARIA,872,871,874,873,https://www.legislatura.gob.ar/InfoSesion/64
63,1,1997,1997-12-15,1,ORD,ORDINARIA,868,867,870,869,https://www.legislatura.gob.ar/InfoSesion/63
67,5,1998,1998-01-20,1,ORD,ORDINARIA,884,883,886,885,https://www.legislatura.gob.ar/InfoSesion/67
66,4,1998,1998-01-15,1,ORD,ORDINARIA,880,879,882,881,https://www.legislatura.gob.ar/InfoSesion/66
70,8,1998,1998-02-19,1,ORD,ORDINARIA,896,895,898,897,https://www.legislatura.gob.ar/InfoSesion/70
69,7,1998,1998-02-03,1,ORD,ORDINARIA,892,891,894,893,https://www.legislatura.gob.ar/InfoSesion/69
68,6,1998,1998-02-03,1,ORD,ORDINARIA,888,887,890,889,https://www.legislatura.gob.ar/InfoSesion/68
75,13,1998,1998-03-26,1,ORD,ORDINARIA,916,915,918,917,https://www.legislatura.gob.ar/InfoSesion/75
74,12,1998,1998-03-19,1,ORD,ORDINARIA,912,911,914,913,https://www.legislatura.gob.ar/InfoSesion/74
73,11,1998,1998-03-12,1,ORD,ORDINARIA,908,907,910,909,https://www.legislatura.gob.ar/InfoSesion/73
72,10,1998,1998-03-09,1,ORD,ORDINARIA,904,903,906,905,https://www.legislatura.gob.ar/InfoSesion/72
71,9,1998,1998-03-05,1,ORD,ORDINARIA,900,899,902,901,https://www.legislatura.gob.ar/InfoSesion/71
83,21,1998,1998-04-30,1,ORD,ORDINARIA,948,947,950,949,https://www.legislatura.gob.ar/InfoSesion/83
82,20,1998,1998-04-23,1,ORD,ORDINARIA,944,943,946,945,https://www.legislatura.gob.ar/InfoSesion/82
81,19,1998,1998-04-23,1,ORD,ORDINARIA,940,939,942,941,https://www.legislatura.gob.ar/InfoSesion/81
80,18,1998,1998-04-16,1,ORD,ORDINARIA,936,935,938,937,https://www.legislatura.gob.ar/InfoSesion/80
79,17,1998,1998-04-07,1,ORD,ORDINARIA,932,931,934,933,https://www.legislatura.gob.ar/InfoSesion/79
78,16,1998,1998-04-07,1,ORD,ORDINARIA,928,927,930,929,https://www.legislatura.gob.ar/InfoSesion/78
77,15,1998,1998-04-02,1,ORD,ORDINARIA,924,923,926,925,https://www.legislatura.gob.ar/InfoSesion/77
76,14,1998,1998-04-02,1,ORD,ORDINARIA,920,919,922,921,https://www.legislatura.gob.ar/InfoSesion/76
86,24,1998,1998-05-28,1,ORD,ORDINARIA,960,959,962,961,https://www.legislatura.gob.ar/InfoSesion/86
85,23,1998,1998-05-14,1,ORD,ORDINARIA,956,955,958,957,https://www.legislatura.gob.ar/InfoSesion/85
84,22,1998,1998-05-07,1,ORD,ORDINARIA,952,951,954,953,https://www.legislatura.gob.ar/InfoSesion/84
91,29,1998,1998-06-25,1,ORD,ORDINARIA,980,979,982,981,https://www.legislatura.gob.ar/InfoSesion/91
90,28,1998,1998-06-18,1,ORD,ORDINARIA,976,975,978,977,https://www.legislatura.gob.ar/InfoSesion/90
89,27,1998,1998-06-11,1,ORD,ORDINARIA,972,971,974,973,https://www.legislatura.gob.ar/InfoSesion/89
88,26,1998,1998-06-04,1,ORD,ORDINARIA,968,967,970,969,https://www.legislatura.gob.ar/InfoSesion/88
87,25,1998,1998-06-04,1,ORD,ORDINARIA,964,963,966,965,https://www.legislatura.gob.ar/InfoSesion/87
95,33,1998,1998-07-21,1,ORD,ORDINARIA,996,995,998,997,https://www.legislatura.gob.ar/InfoSesion/95
94,32,1998,1998-07-16,1,ORD,ORDINARIA,992,991,994,993,https://www.legislatura.gob.ar/InfoSesion/94
93,31,1998,1998-07-08,1,ORD,ORDINARIA,988,987,990,989,https://www.legislatura.gob.ar/InfoSesion/93
92,30,1998,1998-07-02,1,ORD,ORDINARIA,984,983,986,985,https://www.legislatura.gob.ar/InfoSesion/92
99,37,1998,1998-08-27,1,ORD,ORDINARIA,1012,1011,1014,1013,https://www.legislatura.gob.ar/InfoSesion/99
98,36,1998,1998-08-20,1,ORD,ORDINARIA,1008,1007,1010,1009,https://www.legislatura.gob.ar/InfoSesion/98
97,35,1998,1998-08-13,1,ORD,ORDINARIA,1004,1003,1006,1005,https://www.legislatura.gob.ar/InfoSesion/97
96,34,1998,1998-08-06,1,ORD,ORDINARIA,1000,999,1002,1001,https://www.legislatura.gob.ar/InfoSesion/96
105,43,1998,1998-09-24,1,ORD,ORDINARIA,1036,1035,1038,1037,https://www.legislatura.gob.ar/InfoSesion/105
104,42,1998,1998-09-24,1,ORD,ORDINARIA,1032,1031,1034,1033,https://www.legislatura.gob.ar/InfoSesion/104
103,41,1998,1998-09-17,1,ORD,ORDINARIA,1028,1027,1030,1029,https://www.legislatura.gob.ar/InfoSesion/103
102,40,1998,1998-09-10,1,ORD,ORDINARIA,1024,1023,1026,1025,https://www.legislatura.gob.ar/InfoSesion/102
101,39,1998,1998-09-04,1,ORD,ORDINARIA,1020,1019,1022,1021,https://www.legislatura.gob.ar/InfoSesion/101
100,38,1998,1998-09-03,1,ORD,ORDINARIA,1016,1015,1018,1017,https://www.legislatura.gob.ar/InfoSesion/100
110,48,1998,1998-10-29,1,ORD,ORDINARIA,1056,1055,1058,1057,https://www.legislatura.gob.ar/InfoSesion/110
109,47,1998,1998-10-29,1,ORD,ORDINARIA,1052,1051,1054,1053,https://www.legislatura.gob.ar/InfoSesion/109
108,46,1998,1998-10-22,1,ORD,ORDINARIA,1048,1047,1050,1049,https://www.legislatura.gob.ar/InfoSesion/108
107,45,1998,1998-10-15,1,ORD,ORDINARIA,1044,1043,1046,1045,https://www.legislatura.gob.ar/InfoSesion/107
106,44,1998,1998-10-08,1,ORD,ORDINARIA,1040,1039,1042,1041,https://www.legislatura.gob.ar/InfoSesion/106
119,57,1998,1998-11-26,1,ORD,ORDINARIA,1092,1091,1094,1093,https://www.legislatura.gob.ar/InfoSesion/119
118,56,1998,1998-11-26,1,ORD,ORDINARIA,1088,1087,1090,1089,https://www.legislatura.gob.ar/InfoSesion/118
117,55,1998,1998-11-26,1,ORD,ORDINARIA,1084,1083,1086,1085,https://www.legislatura.gob.ar/InfoSesion/117
116,54,1998,1998-11-19,1,ORD,ORDINARIA,1080,1079,1082,1081,https://www.legislatura.gob.ar/InfoSesion/116
115,53,1998,1998-11-19,1,ORD,ORDINARIA,1076,1075,1078,1077,https://www.legislatura.gob.ar/InfoSesion/115
114,52,1998,1998-11-17,1,ORD,ORDINARIA,1072,1071,1074,1073,https://www.legislatura.gob.ar/InfoSesion/114
113,51,1998,1998-11-12,1,ORD,ORDINARIA,1068,1067,1070,1069,https://www.legislatura.gob.ar/InfoSesion/113
112,50,1998,1998-11-12,1,ORD,ORDINARIA,1064,1063,1066,1065,https://www.legislatura.gob.ar/InfoSesion/112
111,49,1998,1998-11-05,1,ORD,ORDINARIA,1060,1059,1062,1061,https://www.legislatura.gob.ar/InfoSesion/111
125,63,1998,1998-12-29,1,ORD,ORDINARIA,1116,1115,1118,1117,https://www.legislatura.gob.ar/InfoSesion/125
124,62,1998,1998-12-17,1,ORD,ORDINARIA,1112,1111,1114,1113,https://www.legislatura.gob.ar/InfoSesion/124
123,61,1998,1998-12-14,1,ORD,ORDINARIA,1108,1107,1110,1109,https://www.legislatura.gob.ar/InfoSesion/123
122,60,1998,1998-12-10,1,ORD,ORDINARIA,1104,1103,1106,1105,https://www.legislatura.gob.ar/InfoSesion/122
121,59,1998,1998-12-04,1,ORD,ORDINARIA,1100,1099,1102,1101,https://www.legislatura.gob.ar/InfoSesion/121
120,58,1998,1998-12-03,1,ORD,ORDINARIA,1096,1095,1098,1097,https://www.legislatura.gob.ar/InfoSesion/120
